Type, GameLimit, MoveLimit, C, Win, MedalLeft, MovesMade, Score, Duration
Heuristic Based, 100, 5, 1.4, 1, 0, 4, 458500, 4.930
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 145500, 9.086
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 216000, 10.551
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 139800, 11.258
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 232000, 11.307
Heuristic Based, 100, 5, 1.4, 1, 0, 14, 122714, 15.888
Heuristic Based, 100, 5, 1.4, 1, 0, 17, 92588, 19.216
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 107333, 13.481
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 147333, 10.306
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 169800, 11.268
Heuristic Based, 100, 5, 1.4, 1, 0, 17, 118588, 19.050
Heuristic Based, 100, 5, 1.4, 1, 0, 14, 173429, 15.392
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 129833, 13.186
Heuristic Based, 100, 5, 1.4, 1, 0, 16, 114250, 19.096
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 105273, 15.807
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 55600, 28.056
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 207818, 13.344
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 120923, 16.019
Heuristic Based, 100, 5, 1.4, 1, 0, 14, 86143, 16.995
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 187833, 14.128
Heuristic Based, 100, 5, 1.4, 1, 0, 7, 252571, 8.557
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 121818, 13.495
Heuristic Based, 100, 5, 1.4, 1, 0, 18, 85111, 21.085
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 64500, 22.796
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 313500, 9.819
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 107000, 14.988
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 113818, 13.131
Heuristic Based, 100, 5, 1.4, 1, 0, 17, 145294, 20.347
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 212222, 10.892
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 148400, 12.527
Heuristic Based, 100, 5, 1.4, 1, 0, 18, 121556, 20.568
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 195818, 13.421
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 236182, 12.831
Heuristic Based, 100, 5, 1.4, 1, 0, 18, 133889, 20.536
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 82900, 22.357
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 163000, 9.330
Heuristic Based, 100, 5, 1.4, 1, 0, 18, 101333, 20.695
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 368000, 9.040
Heuristic Based, 100, 5, 1.4, 1, 0, 5, 394800, 5.941
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 143000, 9.619
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 178750, 9.884
