Level, GameLimit, MoveLimit, C, Win, MedalLeft, MovesMade, Score
2, 1, 5, 1.4, 0, 2, 20, 53500
2, 1, 5, 1.4, 0, 2, 20, 35000
2, 1, 5, 1.4, 0, 3, 20, 12800
2, 1, 5, 1.4, 0, 2, 20, 47800
2, 1, 5, 1.4, 0, 3, 20, 13000
2, 1, 5, 1.4, 0, 3, 20, 19700
2, 1, 5, 1.4, 0, 2, 20, 32700
2, 1, 5, 1.4, 0, 2, 20, 66800
2, 1, 5, 1.4, 0, 2, 20, 37000
2, 1, 5, 1.4, 0, 1, 20, 66000
2, 1, 5, 1.4, 0, 3, 20, 9100
2, 1, 5, 1.4, 0, 1, 20, 66900
2, 1, 5, 1.4, 0, 2, 20, 61100
2, 1, 5, 1.4, 0, 1, 20, 44200
2, 1, 5, 1.4, 0, 3, 20, 12300
2, 1, 5, 1.4, 0, 1, 20, 80300
2, 1, 5, 1.4, 0, 1, 20, 41900
2, 1, 5, 1.4, 1, 0, 15, 76666.66666666667
2, 1, 5, 1.4, 0, 2, 20, 64900
2, 1, 5, 1.4, 0, 2, 20, 31200
2, 1, 5, 1.4, 0, 1, 20, 74000
2, 1, 5, 1.4, 0, 3, 20, 8300
2, 1, 5, 1.4, 0, 3, 20, 13800
2, 1, 5, 1.4, 0, 3, 20, 21200
2, 1, 5, 1.4, 0, 3, 20, 22800
2, 1, 5, 1.4, 0, 3, 20, 20900
2, 1, 5, 1.4, 0, 2, 20, 28900
2, 1, 5, 1.4, 0, 2, 20, 27700
2, 1, 5, 1.4, 0, 2, 20, 26200
2, 1, 5, 1.4, 0, 1, 20, 52000
2, 1, 5, 1.4, 1, 0, 9, 205111.1111111111
2, 1, 5, 1.4, 0, 3, 20, 11700
2, 1, 5, 1.4, 0, 2, 20, 28900
2, 1, 5, 1.4, 0, 2, 20, 84400
2, 1, 5, 1.4, 0, 3, 20, 18200
2, 1, 5, 1.4, 0, 3, 20, 18100
2, 1, 5, 1.4, 0, 2, 20, 49700
2, 1, 5, 1.4, 0, 2, 20, 32800
2, 1, 5, 1.4, 0, 2, 20, 70200
2, 1, 5, 1.4, 0, 2, 20, 37200
2, 1, 5, 1.4, 0, 2, 20, 28900
2, 1, 5, 1.4, 0, 3, 20, 19300
2, 1, 5, 1.4, 0, 2, 20, 42200
2, 1, 5, 1.4, 0, 3, 20, 17700
2, 1, 5, 1.4, 1, 0, 15, 153866.66666666666
2, 1, 5, 1.4, 0, 2, 20, 28700
2, 1, 5, 1.4, 0, 3, 20, 14100
2, 1, 5, 1.4, 0, 1, 20, 51800
2, 1, 5, 1.4, 0, 2, 20, 26800
2, 1, 5, 1.4, 0, 3, 20, 7300
2, 1, 5, 1.4, 0, 2, 20, 29100
2, 1, 5, 1.4, 0, 1, 20, 123400
2, 1, 5, 1.4, 0, 2, 20, 62900
2, 1, 5, 1.4, 0, 3, 20, 18400
2, 1, 5, 1.4, 0, 3, 20, 14800
2, 1, 5, 1.4, 0, 2, 20, 26700
2, 1, 5, 1.4, 0, 3, 20, 10800
2, 1, 5, 1.4, 0, 1, 20, 47100
2, 1, 5, 1.4, 0, 3, 20, 12100
2, 1, 5, 1.4, 0, 3, 20, 10800
2, 1, 5, 1.4, 0, 3, 20, 13600
2, 1, 5, 1.4, 0, 2, 20, 28800
2, 1, 5, 1.4, 0, 2, 20, 51000
2, 1, 5, 1.4, 0, 2, 20, 37500
2, 1, 5, 1.4, 0, 2, 20, 58800
2, 1, 5, 1.4, 0, 3, 20, 15000
2, 1, 5, 1.4, 0, 2, 20, 26500
2, 1, 5, 1.4, 0, 1, 20, 67800
2, 1, 5, 1.4, 0, 3, 20, 15800
2, 1, 5, 1.4, 0, 3, 20, 16600
2, 1, 5, 1.4, 0, 1, 20, 109000
2, 1, 5, 1.4, 0, 2, 20, 53100
2, 1, 5, 1.4, 0, 3, 20, 12000
2, 1, 5, 1.4, 0, 2, 20, 27100
2, 1, 5, 1.4, 0, 2, 20, 33700
2, 1, 5, 1.4, 0, 3, 20, 20000
2, 1, 5, 1.4, 0, 3, 20, 27800
2, 1, 5, 1.4, 0, 2, 20, 27400
2, 1, 5, 1.4, 0, 2, 20, 30400
2, 1, 5, 1.4, 0, 2, 20, 43900
2, 1, 5, 1.4, 0, 3, 20, 11400
2, 1, 5, 1.4, 0, 2, 20, 37400
2, 1, 5, 1.4, 0, 2, 20, 25800
2, 1, 5, 1.4, 0, 1, 20, 64300
2, 1, 5, 1.4, 0, 1, 20, 70400
2, 1, 5, 1.4, 0, 1, 20, 85900
2, 1, 5, 1.4, 0, 2, 20, 40900
2, 1, 5, 1.4, 0, 2, 20, 35000
2, 1, 5, 1.4, 0, 3, 20, 15700
2, 1, 5, 1.4, 0, 3, 20, 12800
2, 1, 5, 1.4, 0, 1, 20, 108800
2, 1, 5, 1.4, 0, 1, 20, 51400
2, 1, 5, 1.4, 0, 2, 20, 32400
2, 1, 5, 1.4, 0, 2, 20, 36200
2, 1, 5, 1.4, 0, 3, 20, 17800
2, 1, 5, 1.4, 0, 3, 20, 8500
2, 1, 5, 1.4, 0, 1, 20, 47500
2, 1, 5, 1.4, 0, 2, 20, 26500
2, 1, 5, 1.4, 0, 3, 20, 14700
2, 1, 5, 1.4, 0, 3, 20, 10400
2, 1, 10, 1.4, 0, 2, 20, 38800
2, 1, 10, 1.4, 0, 1, 20, 61300
2, 1, 10, 1.4, 0, 2, 20, 36700
2, 1, 10, 1.4, 0, 2, 20, 30900
2, 1, 10, 1.4, 0, 1, 20, 45600
2, 1, 10, 1.4, 0, 2, 20, 43300
2, 1, 10, 1.4, 0, 1, 20, 46200
2, 1, 10, 1.4, 0, 2, 20, 59800
2, 1, 10, 1.4, 0, 2, 20, 33900
2, 1, 10, 1.4, 0, 2, 20, 35300
2, 1, 10, 1.4, 0, 3, 20, 13200
2, 1, 10, 1.4, 0, 3, 20, 10600
2, 1, 10, 1.4, 0, 2, 20, 61500
2, 1, 10, 1.4, 0, 3, 20, 13000
2, 1, 10, 1.4, 1, 0, 11, 141090.9090909091
2, 1, 10, 1.4, 0, 2, 20, 54800
2, 1, 10, 1.4, 0, 3, 20, 10900
2, 1, 10, 1.4, 0, 2, 20, 50300
2, 1, 10, 1.4, 0, 2, 20, 25500
2, 1, 10, 1.4, 0, 3, 20, 17900
2, 1, 10, 1.4, 0, 2, 20, 29400
2, 1, 10, 1.4, 0, 2, 20, 32500
2, 1, 10, 1.4, 0, 3, 20, 12700
2, 1, 10, 1.4, 0, 2, 20, 35900
2, 1, 10, 1.4, 0, 2, 20, 27300
