Level, GameLimit, MoveLimit, C, Win, MedalLeft, MovesMade, Score
1, 1, 1, 1.4, 0, 3, 20, 16700
1, 1, 1, 1.4, 0, 3, 20, 12400
1, 1, 1, 1.4, 0, 3, 20, 17100
1, 1, 1, 1.4, 0, 1, 20, 74700
1, 1, 1, 1.4, 1, 0, 18, 68222.22222222222
1, 1, 1, 1.4, 0, 2, 20, 36100
1, 1, 1, 1.4, 0, 1, 20, 47400
1, 1, 1, 1.4, 0, 2, 20, 54100
1, 1, 1, 1.4, 0, 2, 20, 31300
1, 1, 1, 1.4, 0, 1, 20, 61200
1, 1, 1, 1.4, 0, 3, 20, 17700
1, 1, 1, 1.4, 0, 2, 20, 53400
1, 1, 1, 1.4, 0, 2, 20, 33600
1, 1, 1, 1.4, 0, 1, 20, 49400
1, 1, 1, 1.4, 0, 1, 20, 79200
1, 1, 1, 1.4, 0, 2, 20, 27200
1, 1, 1, 1.4, 0, 3, 20, 12300
1, 1, 1, 1.4, 0, 3, 20, 14500
1, 1, 1, 1.4, 0, 2, 20, 72700
1, 1, 1, 1.4, 0, 3, 20, 13600
1, 1, 1, 1.4, 0, 3, 20, 13600
1, 1, 1, 1.4, 0, 2, 20, 30700
1, 1, 1, 1.4, 0, 2, 20, 28600
1, 1, 1, 1.4, 0, 3, 20, 14800
1, 1, 1, 1.4, 0, 1, 20, 65800
1, 1, 1, 1.4, 0, 1, 20, 77600
1, 1, 1, 1.4, 0, 1, 20, 74500
1, 1, 1, 1.4, 0, 1, 20, 46700
1, 1, 1, 1.4, 0, 3, 20, 12300
1, 1, 1, 1.4, 0, 2, 20, 29900
1, 1, 1, 1.4, 0, 2, 20, 34500
1, 1, 1, 1.4, 0, 1, 20, 41600
1, 1, 1, 1.4, 0, 3, 20, 13500
1, 1, 1, 1.4, 0, 3, 20, 18200
1, 1, 1, 1.4, 0, 3, 20, 16700
1, 1, 1, 1.4, 0, 3, 20, 15700
1, 1, 1, 1.4, 0, 2, 20, 50700
1, 1, 1, 1.4, 0, 3, 20, 12900
1, 1, 1, 1.4, 1, 0, 15, 155066.66666666666
1, 1, 1, 1.4, 0, 2, 20, 48300
1, 1, 1, 1.4, 0, 3, 20, 17600
1, 1, 1, 1.4, 0, 2, 20, 51700
1, 1, 1, 1.4, 0, 1, 20, 83400
1, 1, 1, 1.4, 0, 2, 20, 27500
1, 1, 1, 1.4, 0, 3, 20, 12700
1, 1, 1, 1.4, 0, 2, 20, 55900
1, 1, 1, 1.4, 0, 1, 20, 55000
1, 1, 1, 1.4, 0, 3, 20, 19200
1, 1, 1, 1.4, 0, 3, 20, 29300
1, 1, 1, 1.4, 0, 1, 20, 46800
1, 1, 1, 1.4, 0, 2, 20, 37100
1, 1, 1, 1.4, 0, 3, 20, 7800
1, 1, 1, 1.4, 0, 2, 20, 33400
1, 1, 1, 1.4, 0, 1, 20, 77900
1, 1, 1, 1.4, 0, 1, 20, 48700
1, 1, 1, 1.4, 0, 3, 20, 14700
1, 1, 1, 1.4, 0, 1, 20, 41100
1, 1, 1, 1.4, 0, 2, 20, 28400
1, 1, 1, 1.4, 0, 3, 20, 15000
1, 1, 1, 1.4, 0, 2, 20, 31600
1, 1, 1, 1.4, 0, 2, 20, 64000
1, 1, 1, 1.4, 0, 1, 20, 47900
1, 1, 1, 1.4, 0, 3, 20, 12800
1, 1, 1, 1.4, 0, 2, 20, 24500
1, 1, 1, 1.4, 0, 3, 20, 21900
1, 1, 1, 1.4, 0, 3, 20, 18400
1, 1, 1, 1.4, 0, 2, 20, 35800
1, 1, 1, 1.4, 0, 3, 20, 17900
1, 1, 1, 1.4, 0, 3, 20, 21200
1, 1, 1, 1.4, 0, 3, 20, 18500
1, 1, 1, 1.4, 0, 2, 20, 38900
1, 1, 1, 1.4, 0, 2, 20, 44500
1, 1, 1, 1.4, 0, 3, 20, 12900
1, 1, 1, 1.4, 0, 2, 20, 45200
1, 1, 1, 1.4, 0, 1, 20, 92200
1, 1, 1, 1.4, 0, 3, 20, 22200
1, 1, 1, 1.4, 0, 3, 20, 21400
1, 1, 1, 1.4, 0, 2, 20, 36700
1, 1, 1, 1.4, 0, 1, 20, 47200
1, 1, 1, 1.4, 0, 1, 20, 103600
1, 1, 1, 1.4, 0, 3, 20, 25800
1, 1, 1, 1.4, 0, 3, 20, 16100
1, 1, 1, 1.4, 0, 2, 20, 24200
1, 1, 1, 1.4, 0, 2, 20, 28900
1, 1, 1, 1.4, 
1, 1, 1, 1.4, 0, 2, 20, 32500
1, 1, 1, 1.4, 0, 3, 20, 14000
1, 1, 1, 1.4, 0, 3, 20, 11300
1, 1, 1, 1.4, 0, 1, 20, 67500
1, 1, 1, 1.4, 0, 2, 20, 33500
1, 1, 1, 1.4, 0, 2, 20, 57100
1, 1, 1, 1.4, 0, 3, 20, 15100
1, 1, 1, 1.4, 0, 1, 20, 58000
