Level, GameLimit, MoveLimit, C, Win, MedalLeft, MovesMade, Score
2, 1, 20, 1.4, 1, 0, 12, 183666.6666666667
2, 1, 20, 1.4, 0, 3, 20, 18900
2, 1, 20, 1.4, 0, 1, 20, 63200
2, 1, 20, 1.4, 0, 2, 20, 46500
2, 1, 20, 1.4, 1, 0, 20, 84700.0
2, 1, 20, 1.4, 0, 1, 20, 66300
2, 1, 20, 1.4, 0, 2, 20, 48000
2, 1, 20, 1.4, 0, 3, 20, 17000
2, 1, 20, 1.4, 0, 2, 20, 91900
2, 1, 20, 1.4, 0, 1, 20, 56700
2, 1, 20, 1.4, 0, 1, 20, 71500
2, 1, 20, 1.4, 0, 3, 20, 18000
2, 1, 20, 1.4, 0, 2, 20, 36400
2, 1, 20, 1.4, 0, 2, 20, 31300
2, 1, 20, 1.4, 0, 2, 20, 26000
2, 1, 20, 1.4, 0, 3, 20, 20300
2, 1, 20, 1.4, 0, 3, 20, 15300
2, 1, 20, 1.4, 0, 2, 20, 33600
2, 1, 20, 1.4, 0, 2, 20, 76400
2, 1, 20, 1.4, 0, 2, 20, 41200
2, 1, 20, 1.4, 0, 1, 20, 52600
2, 1, 20, 1.4, 0, 2, 20, 33900
2, 1, 20, 1.4, 0, 2, 20, 45600
2, 1, 20, 1.4, 0, 2, 20, 39000
2, 1, 20, 1.4, 0, 3, 20, 12300
2, 1, 20, 1.4, 0, 1, 20, 52500
2, 1, 20, 1.4, 0, 2, 20, 25900
2, 1, 20, 1.4, 0, 2, 20, 43600
2, 1, 20, 1.4, 0, 3, 20, 12000
2, 1, 20, 1.4, 0, 2, 20, 36600
2, 1, 20, 1.4, 0, 3, 20, 20700
2, 1, 20, 1.4, 0, 3, 20, 12500
2, 1, 20, 1.4, 0, 2, 20, 27200
2, 1, 20, 1.4, 0, 2, 20, 32200
2, 1, 20, 1.4, 0, 3, 20, 19700
2, 1, 20, 1.4, 0, 2, 20, 73500
2, 1, 20, 1.4, 0, 3, 20, 19100
2, 1, 20, 1.4, 0, 2, 20, 27800
2, 1, 20, 1.4, 0, 3, 20, 15000
2, 1, 20, 1.4, 0, 3, 20, 18400
2, 1, 20, 1.4, 0, 2, 20, 45600
2, 1, 20, 1.4, 0, 1, 20, 67600
2, 1, 20, 1.4, 0, 2, 20, 40500
2, 1, 20, 1.4, 0, 2, 20, 37500
2, 1, 20, 1.4, 0, 1, 20, 48500
2, 1, 20, 1.4, 0, 3, 20, 11800
2, 1, 20, 1.4, 0, 2, 20, 26200
2, 1, 20, 1.4, 0, 2, 20, 28100
2, 1, 20, 1.4, 0, 1, 20, 85500
2, 1, 20, 1.4, 0, 2, 20, 26100
2, 1, 20, 1.4, 0, 3, 20, 19200
2, 1, 20, 1.4, 0, 2, 20, 31000
2, 1, 20, 1.4, 0, 2, 20, 26800
2, 1, 20, 1.4, 0, 3, 20, 17700
2, 1, 20, 1.4, 0, 3, 20, 21100
2, 1, 20, 1.4, 0, 2, 20, 36400
2, 1, 20, 1.4, 0, 3, 20, 18500
2, 1, 20, 1.4, 0, 3, 20, 15700
2, 1, 20, 1.4, 0, 1, 20, 53100
2, 1, 20, 1.4, 0, 1, 20, 53500
2, 1, 20, 1.4, 0, 2, 20, 37500
2, 1, 20, 1.4, 0, 1, 20, 50000
2, 1, 20, 1.4, 0, 3, 20, 19000
2, 1, 20, 1.4, 1, 0, 15, 75733.33333333333
2, 1, 20, 1.4, 0, 1, 20, 80700
2, 1, 20, 1.4, 0, 2, 20, 32600
2, 1, 20, 1.4, 0, 3, 20, 16900
2, 1, 20, 1.4, 0, 2, 20, 56400
2, 1, 20, 1.4, 0, 3, 20, 13700
2, 1, 20, 1.4, 0, 3, 20, 17200
2, 1, 20, 1.4, 0, 2, 20, 34800
2, 1, 20, 1.4, 1, 0, 12, 203833.3333333333
2, 1, 20, 1.4, 0, 3, 20, 15400
2, 1, 20, 1.4, 0, 3, 20, 8500
2, 1, 20, 1.4, 0, 2, 20, 51700
2, 1, 20, 1.4, 0, 3, 20, 11700
2, 1, 20, 1.4, 0, 3, 20, 16600
2, 1, 20, 1.4, 0, 3, 20, 19300
2, 1, 20, 1.4, 0, 1, 20, 65000
2, 1, 20, 1.4, 0, 1, 20, 173000
2, 1, 20, 1.4, 0, 2, 20, 47000
2, 1, 20, 1.4, 0, 1, 20, 63600
2, 1, 20, 1.4, 0, 3, 20, 12300
2, 1, 20, 1.4, 0, 1, 20, 61300
2, 1, 20, 1.4, 0, 2, 20, 27200
2, 1, 20, 1.4, 0, 3, 20, 13200
2, 1, 20, 1.4, 0, 3, 20, 12700
2, 1, 20, 1.4, 0, 1, 20, 124900
2, 1, 20, 1.4, 0, 3, 20, 25000
2, 1, 20, 1.4, 0, 2, 20, 45700
2, 1, 20, 1.4, 0, 3, 20, 27800
2, 1, 20, 1.4, 0, 3, 20, 10200
2, 1, 20, 1.4, 0, 2, 20, 27400
2, 1, 20, 1.4, 0, 2, 20, 39100
2, 1, 20, 1.4, 0, 2, 20, 71500
2, 1, 20, 1.4, 0, 1, 20, 91300
2, 1, 20, 1.4, 0, 2, 20, 27600
2, 1, 20, 1.4, 0, 2, 20, 30400
2, 1, 20, 1.4, 0, 2, 20, 29700
2, 1, 20, 1.4, 0, 3, 20, 14400
2, 3, 20, 1.4, 0, 2, 20, 40900
2, 3, 20, 1.4, 0, 2, 20, 26700
2, 3, 20, 1.4, 0, 2, 20, 33200
2, 3, 20, 1.4, 0, 3, 20, 15500
2, 3, 20, 1.4, 0, 1, 20, 60100
2, 3, 20, 1.4, 0, 1, 20, 54900
2, 3, 20, 1.4, 1, 0, 19, 124315.78947368421
2, 3, 20, 1.4, 0, 3, 20, 18200
